    # time       flux      error   full_mod       base    transit   det_flux
8558.644243   0.999833   0.000941   1.000004   1.000004   1.000000   0.999829
8558.645631   0.999509   0.000940   1.000004   1.000004   1.000000   0.999505
8558.647020   0.999300   0.000940   1.000004   1.000004   1.000000   0.999296
8558.648409   1.000184   0.000941   1.000004   1.000004   1.000000   1.000180
8558.649798   0.999356   0.000941   1.000004   1.000004   1.000000   0.999352
8558.651187   0.999729   0.000940   1.000004   1.000004   1.000000   0.999725
8558.652576   1.001003   0.000940   1.000004   1.000004   1.000000   1.000999
8558.653965   0.999360   0.000940   1.000004   1.000004   1.000000   0.999356
8558.655354   0.999108   0.000941   1.000004   1.000004   1.000000   0.999104
8558.656742   1.000247   0.000941   1.000004   1.000004   1.000000   1.000243
8558.658131   1.000573   0.000941   1.000004   1.000004   1.000000   1.000569
8558.659520   1.000725   0.000940   1.000004   1.000004   1.000000   1.000721
8558.660909   0.998089   0.000940   1.000004   1.000004   1.000000   0.998085
8558.662298   0.999258   0.000940   1.000004   1.000004   1.000000   0.999254
8558.663687   0.998606   0.000940   1.000004   1.000004   1.000000   0.998602
8558.665076   0.999837   0.000940   1.000004   1.000004   1.000000   0.999833
8558.666464   1.000885   0.000941   1.000004   1.000004   1.000000   1.000881
8558.667853   0.999547   0.000940   1.000004   1.000004   1.000000   0.999543
8558.669242   1.000039   0.000940   1.000004   1.000004   1.000000   1.000035
8558.670631   0.999624   0.000941   1.000004   1.000004   1.000000   0.999620
8558.672020   1.000458   0.000940   1.000004   1.000004   1.000000   1.000454
8558.673409   0.999074   0.000939   1.000004   1.000004   1.000000   0.999070
8558.674798   0.999260   0.000941   1.000004   1.000004   1.000000   0.999256
8558.676187   1.000359   0.000943   1.000004   1.000004   1.000000   1.000355
8558.677575   1.000636   0.000940   1.000004   1.000004   1.000000   1.000632
8558.678964   1.001505   0.000940   1.000004   1.000004   1.000000   1.001501
8558.680353   0.999484   0.000940   1.000004   1.000004   1.000000   0.999480
8558.681742   1.000088   0.000940   1.000004   1.000004   1.000000   1.000084
8558.683131   1.001147   0.000940   1.000004   1.000004   1.000000   1.001143
8558.684520   0.999644   0.000941   1.000004   1.000004   1.000000   0.999640
8558.685909   0.999221   0.000941   1.000004   1.000004   1.000000   0.999217
8558.687297   0.999018   0.000940   1.000004   1.000004   1.000000   0.999014
8558.688686   1.000981   0.000940   1.000004   1.000004   1.000000   1.000977
8558.690075   1.000563   0.000941   1.000004   1.000004   1.000000   1.000559
8558.691464   1.000026   0.000941   1.000004   1.000004   1.000000   1.000022
8558.692853   0.998964   0.000940   1.000004   1.000004   1.000000   0.998960
8558.694242   0.999284   0.000940   1.000004   1.000004   1.000000   0.999280
8558.695631   1.002362   0.000940   1.000004   1.000004   1.000000   1.002358
8558.697020   0.999968   0.000939   1.000004   1.000004   1.000000   0.999964
8558.698408   0.998946   0.000939   1.000004   1.000004   1.000000   0.998942
8558.699797   1.000479   0.000939   1.000004   1.000004   1.000000   1.000475
8558.701186   0.998975   0.000940   1.000004   1.000004   1.000000   0.998971
8558.702575   0.999111   0.000939   1.000004   1.000004   1.000000   0.999107
8558.703964   1.001972   0.000940   1.000004   1.000004   1.000000   1.001968
8558.705353   1.001082   0.000940   1.000004   1.000004   1.000000   1.001078
8558.706742   1.000309   0.000941   1.000004   1.000004   1.000000   1.000305
8558.708130   0.998357   0.000940   1.000004   1.000004   1.000000   0.998353
8558.709519   1.001695   0.000940   1.000004   1.000004   1.000000   1.001691
8558.710908   0.999898   0.000941   1.000004   1.000004   1.000000   0.999894
8558.712297   0.999572   0.000939   1.000004   1.000004   1.000000   0.999568
8558.713686   0.998558   0.000939   1.000004   1.000004   1.000000   0.998554
8558.715075   0.999126   0.000939   1.000004   1.000004   1.000000   0.999122
8558.716464   1.000548   0.000941   1.000004   1.000004   1.000000   1.000544
8558.717853   0.999858   0.000939   1.000004   1.000004   1.000000   0.999854
8558.719241   1.000063   0.000940   1.000004   1.000004   1.000000   1.000059
8558.720630   0.999218   0.000939   1.000004   1.000004   1.000000   0.999214
8558.722019   1.000062   0.000939   1.000004   1.000004   1.000000   1.000058
8558.723408   1.000397   0.000939   1.000004   1.000004   1.000000   1.000393
8558.724797   1.000509   0.000939   1.000004   1.000004   1.000000   1.000505
8558.726186   0.999325   0.000939   1.000004   1.000004   1.000000   0.999321
8558.727575   1.000711   0.000939   1.000004   1.000004   1.000000   1.000707
8558.728963   1.000308   0.000940   1.000004   1.000004   1.000000   1.000304
8558.730352   1.001287   0.000938   1.000004   1.000004   1.000000   1.001283
8558.731741   0.999031   0.000938   1.000004   1.000004   1.000000   0.999027
8558.733130   0.999344   0.000940   1.000004   1.000004   1.000000   0.999340
8558.734519   0.999424   0.000940   1.000004   1.000004   1.000000   0.999420
8558.735908   1.000312   0.000939   1.000004   1.000004   1.000000   1.000308
8558.737297   0.998835   0.000938   1.000004   1.000004   1.000000   0.998831
8558.738686   0.999350   0.000940   1.000004   1.000004   1.000000   0.999346
8558.740074   1.001499   0.000941   1.000004   1.000004   1.000000   1.001495
8558.741463   0.998923   0.000939   1.000004   1.000004   1.000000   0.998919
8558.742852   1.000631   0.000941   1.000004   1.000004   1.000000   1.000627
8558.744241   0.999915   0.000939   1.000004   1.000004   1.000000   0.999911
8558.745630   0.999686   0.000939   1.000004   1.000004   1.000000   0.999682
8558.747019   0.999121   0.000939   1.000004   1.000004   1.000000   0.999117
8558.748408   0.999238   0.000940   1.000004   1.000004   1.000000   0.999234
8558.749796   0.999107   0.000940   1.000004   1.000004   1.000000   0.999103
8558.751185   1.002186   0.000940   1.000004   1.000004   1.000000   1.002182
8558.752574   1.000254   0.000940   1.000004   1.000004   1.000000   1.000250
8558.753963   1.000168   0.000940   1.000004   1.000004   1.000000   1.000164
8558.755352   1.001065   0.000939   1.000004   1.000004   1.000000   1.001061
8558.756741   1.000554   0.000940   1.000004   1.000004   1.000000   1.000550
8558.758130   1.000017   0.000939   1.000004   1.000004   1.000000   1.000013
8558.759519   0.998957   0.000938   1.000004   1.000004   1.000000   0.998953
8558.760907   1.000685   0.000939   1.000004   1.000004   1.000000   1.000681
8558.762296   0.999249   0.000939   1.000004   1.000004   1.000000   0.999245
8558.763685   0.999842   0.000939   1.000004   1.000004   1.000000   0.999838
8558.765074   1.000646   0.000939   1.000004   1.000004   1.000000   1.000642
8558.766463   0.999210   0.000938   1.000004   1.000004   1.000000   0.999206
8558.767852   0.999861   0.000939   1.000004   1.000004   1.000000   0.999857
8558.769241   0.999809   0.000938   1.000004   1.000004   1.000000   0.999805
8558.770629   0.998499   0.000940   1.000004   1.000004   1.000000   0.998495
