    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.682957   0.992565   0.000684   0.993756   1.006615   0.987225   0.986042
8209.683627   0.992930   0.000684   0.993513   1.006378   0.987217   0.986637
8209.684298   0.993529   0.000685   0.994328   1.007211   0.987209   0.986416
8209.684972   0.993832   0.000691   0.994664   1.007559   0.987202   0.986376
8209.685735   0.995073   0.000692   0.994842   1.007748   0.987194   0.987422
8209.686405   0.994670   0.000692   0.994631   1.007540   0.987187   0.987226
8209.687077   0.994123   0.000691   0.993882   1.006788   0.987181   0.987420
8209.687748   0.994397   0.000691   0.994120   1.007035   0.987175   0.987450
8209.688420   0.993400   0.000697   0.993978   1.006896   0.987170   0.986596
8209.689100   0.992926   0.000697   0.994016   1.006940   0.987165   0.986083
8209.689785   0.993874   0.000698   0.993853   1.006779   0.987161   0.987182
8209.690456   0.995374   0.000698   0.994765   1.007708   0.987156   0.987760
8209.691128   0.994772   0.000705   0.994200   1.007139   0.987153   0.987720
8209.691799   0.995139   0.000705   0.994479   1.007425   0.987149   0.987804
8209.692469   0.994642   0.000705   0.994796   1.007749   0.987146   0.986994
8209.693140   0.993942   0.000704   0.994217   1.007165   0.987144   0.986871
8209.693812   0.994113   0.000705   0.994249   1.007200   0.987142   0.987007
8209.694581   0.994124   0.000711   0.994283   1.007237   0.987140   0.986981
8209.695251   0.994289   0.000711   0.994038   1.006989   0.987138   0.987388
8209.695922   0.994062   0.000711   0.994086   1.007040   0.987137   0.987113
8209.696592   0.992778   0.000711   0.994494   1.007454   0.987136   0.985433
8209.697264   0.995473   0.000719   0.994234   1.007190   0.987136   0.988367
8209.697935   0.992840   0.000717   0.993833   1.006784   0.987136   0.986150
8209.698607   0.994624   0.000719   0.994332   1.007289   0.987137   0.987426
8209.699277   0.994421   0.000718   0.994927   1.007891   0.987138   0.986636
8209.699945   0.995642   0.000726   0.994301   1.007256   0.987139   0.988470
8209.700617   0.994174   0.000725   0.994456   1.007411   0.987140   0.986860
8209.701289   0.993934   0.000725   0.994931   1.007890   0.987142   0.986154
8209.701958   0.993113   0.000731   0.994877   1.007833   0.987145   0.985394
8209.702631   0.994486   0.000732   0.994609   1.007559   0.987148   0.987026
8209.703302   0.994361   0.000732   0.994482   1.007427   0.987151   0.987030
8209.703974   0.993525   0.000732   0.994778   1.007723   0.987154   0.985911
8209.704643   0.993884   0.000739   0.994439   1.007376   0.987158   0.986607
8209.705314   0.996364   0.000741   0.994657   1.007593   0.987162   0.988856
8209.705987   0.993851   0.000739   0.994703   1.007634   0.987167   0.986322
8209.706664   0.995228   0.000747   0.994492   1.007415   0.987172   0.987903
8209.707334   0.994008   0.000746   0.994511   1.007429   0.987178   0.986678
8209.708006   0.994564   0.000747   0.994532   1.007444   0.987183   0.987215
8209.708674   0.993299   0.000746   0.994660   1.007567   0.987190   0.985839
8209.709448   0.994827   0.000754   0.994704   1.007604   0.987197   0.987320
8209.710119   0.995448   0.000755   0.994854   1.007749   0.987204   0.987794
8209.710797   0.995566   0.000755   0.995770   1.008669   0.987212   0.987009
8209.711471   0.996316   0.000762   0.995570   1.008458   0.987220   0.987960
8209.712144   0.995614   0.000762   0.995257   1.008133   0.987228   0.987582
8209.712816   0.995165   0.000762   0.995395   1.008264   0.987237   0.987008
8209.713489   0.994731   0.000768   0.995795   1.008659   0.987246   0.986192
8209.714158   0.996357   0.000770   0.996005   1.008862   0.987256   0.987605
8209.714829   0.994713   0.000769   0.995070   1.007906   0.987266   0.986911
8209.715501   0.995002   0.000777   0.994876   1.007698   0.987276   0.987401
8209.716183   0.996954   0.000778   0.995450   1.008268   0.987287   0.988779
8209.716860   0.992971   0.000775   0.995313   1.008118   0.987298   0.984975
8209.717536   0.994187   0.000784   0.995044   1.007833   0.987310   0.986460
