    # time       flux      error   full_mod    gp*base    transit   det_flux
8209.731758   0.993852   0.000854   0.995034   1.007330   0.987793   0.986620
8209.732433   0.996509   0.000856   0.995415   1.007688   0.987820   0.988906
8209.733105   0.996928   0.000856   0.995299   1.007542   0.987849   0.989465
8209.733774   0.997837   0.000865   0.995208   1.007421   0.987877   0.990487
8209.734446   0.994260   0.000862   0.995207   1.007389   0.987907   0.986967
8209.735119   0.995732   0.000872   0.995000   1.007149   0.987937   0.988664
8209.735790   0.995723   0.000872   0.995386   1.007508   0.987968   0.988303
8209.736467   0.992301   0.000877   0.994738   1.006819   0.988001   0.985580
8209.737144   0.996368   0.000881   0.995038   1.007089   0.988034   0.989354
8209.737819   0.994605   0.000888   0.994840   1.006854   0.988068   0.987834
8209.738491   0.993490   0.000887   0.994897   1.006876   0.988103   0.986705
8209.739162   0.994429   0.000896   0.995070   1.007015   0.988138   0.987502
8209.739841   0.995296   0.000897   0.995268   1.007177   0.988175   0.988203
8209.740517   0.993715   0.000903   0.995088   1.006957   0.988213   0.986850
8209.741194   0.997110   0.000915   0.995115   1.006945   0.988252   0.990233
8209.741868   0.994450   0.000913   0.995460   1.007253   0.988292   0.987289
8209.742541   0.995631   0.000923   0.995159   1.006908   0.988333   0.988801
8209.743211   0.995570   0.000923   0.995189   1.006895   0.988374   0.988752
8209.743883   0.993705   0.000930   0.995247   1.006910   0.988417   0.986886
8209.744557   0.996279   0.000932   0.995115   1.006731   0.988462   0.989617
8209.745227   0.994531   0.000939   0.994906   1.006474   0.988507   0.988134
8209.745999   0.994274   0.000948   0.995455   1.006974   0.988561   0.987388
8209.746675   0.993219   0.000947   0.995403   1.006872   0.988609   0.986440
8209.747350   0.993691   0.000957   0.995429   1.006847   0.988659   0.986933
8209.748023   0.992837   0.000955   0.995885   1.007256   0.988710   0.985684
8209.748692   0.994444   0.000966   0.996000   1.007320   0.988762   0.987217
8209.749366   0.996707   0.000977   0.995965   1.007229   0.988817   0.989554
8209.750038   0.996826   0.000978   0.995858   1.007064   0.988872   0.989833
8209.750710   0.996615   0.000986   0.996664   1.007821   0.988930   0.988881
8209.751382   0.998236   0.000997   0.996696   1.007793   0.988989   0.990517
8209.752056   0.997604   0.000996   0.996140   1.007168   0.989050   0.990504
8209.752728   0.996690   0.001005   0.996356   1.007322   0.989113   0.989445
8209.753398   0.999239   0.001016   0.996220   1.007119   0.989178   0.992176
8209.754068   0.997575   0.001015   0.996652   1.007488   0.989245   0.990161
8209.754739   0.994239   0.001021   0.996548   1.007312   0.989314   0.987022
8209.755411   0.997209   0.001033   0.996616   1.007307   0.989386   0.989975
8209.756096   0.996617   0.001032   0.996831   1.007448   0.989462   0.989249
