# Time  Detrended_flux  flux_error  flux  GP_model  planets_model
8.038685750210000151e+03 9.996788135774357098e-01 9.302666342343359352e-05 9.930549206947802965e-01 9.933739789293410949e-01 9.996829106356917016e-01
8.038706181749999814e+03 9.996121504179997785e-01 9.302666342343359352e-05 9.929597234092103486e-01 9.933449918490809827e-01 9.996537924933619479e-01
8.038726613380000344e+03 9.996488366919409341e-01 9.302666342343359352e-05 9.929709466260232542e-01 9.933197640803381745e-01 9.996551865562821604e-01
8.038747045109999817e+03 9.996417303629748785e-01 9.302666342343359352e-05 9.929438788678272010e-01 9.932997480080031361e-01 9.996883056090992703e-01
8.038767476639999586e+03 9.998586553048834924e-01 9.302666342343359352e-05 9.931452665898383714e-01 9.932856622489325549e-01 9.998101053019489148e-01
8.038787908270000116e+03 9.999099900655624706e-01 9.302666342343359352e-05 9.931878888062735111e-01 9.932772936303514433e-01 1.000000000000000000e+00
8.038808339999999589e+03 9.999565537309446084e-01 9.302666342343359352e-05 9.932316513495507149e-01 9.932748054339934907e-01 1.000000000000000000e+00
8.038828771540000162e+03 1.000009053610052989e+00 9.302666342343359352e-05 9.932850566566494566e-01 9.932760639224917920e-01 1.000000000000000000e+00
8.038849203169999782e+03 1.000032837871349445e+00 9.302666342343359352e-05 9.933099037783638119e-01 9.932772866666099709e-01 1.000000000000000000e+00
8.038869634900000165e+03 1.000115546298159908e+00 9.302666342343359352e-05 9.933896266286309507e-01 9.932748573958034566e-01 1.000000000000000000e+00
8.038890066429999933e+03 1.000044637623380472e+00 9.302666342343359352e-05 9.933111541367430908e-01 9.932668170666466567e-01 1.000000000000000000e+00
8.038910498059999554e+03 9.999743566463902278e-01 9.302666342343359352e-05 9.932292306557283235e-01 9.932547010372515528e-01 1.000000000000000000e+00
8.038930929690000085e+03 9.999781979631939821e-01 9.302666342343359352e-05 9.932201280467266580e-01 9.932417827406312405e-01 1.000000000000000000e+00
8.038951361329999600e+03 9.998985465648948523e-01 9.302666342343359352e-05 9.931300522290784638e-01 9.932308189075089722e-01 1.000000000000000000e+00
8.038971792960000130e+03 1.000019316409001657e+00 9.302666342343359352e-05 9.932423644201449076e-01 9.932231789149910117e-01 1.000000000000000000e+00
8.038992224589999751e+03 9.999758683513272350e-01 9.302666342343359352e-05 9.931936204490845466e-01 9.932175884269840438e-01 1.000000000000000000e+00
8.039012656220000281e+03 1.000043039022842972e+00 9.302666342343359352e-05 9.932552081014175416e-01 9.932124612076117520e-01 1.000000000000000000e+00
8.039033087949999754e+03 1.000078942738222620e+00 9.302666342343359352e-05 9.932843964674251680e-01 9.932059900669500951e-01 1.000000000000000000e+00
8.039053519580000284e+03 9.999742510568369047e-01 9.302666342343359352e-05 9.931722643279652374e-01 9.931978381226487240e-01 1.000000000000000000e+00
8.039073951110000053e+03 1.000003085376232281e+00 9.302666342343359352e-05 9.931928902397909598e-01 9.931898258755080811e-01 1.000000000000000000e+00
8.039094382840000435e+03 9.999552415488944801e-01 9.302666342343359352e-05 9.931391848466812888e-01 9.931836382079908265e-01 1.000000000000000000e+00
8.039114814470000056e+03 1.000070321848160804e+00 9.302666342343359352e-05 9.932504267309750778e-01 9.931805844367200820e-01 1.000000000000000000e+00
8.039135245999999825e+03 1.000001778570960953e+00 9.302666342343359352e-05 9.931830574214958185e-01 9.931812909780928234e-01 1.000000000000000000e+00
8.039155677740000101e+03 9.999971484639652575e-01 9.302666342343359352e-05 9.931850980063707812e-01 9.931879301175428054e-01 1.000000000000000000e+00
8.039176109369999722e+03 9.999264725148920840e-01 9.302666342343359352e-05 9.931301322520147412e-01 9.932031599825694723e-01 1.000000000000000000e+00
8.039196540900000400e+03 9.999807611449678113e-01 9.302666342343359352e-05 9.932099951424203654e-01 9.932291037331608674e-01 1.000000000000000000e+00
8.039216972629999873e+03 9.998675502457435860e-01 9.302666342343359352e-05 9.931342834418341869e-01 9.932658412584201013e-01 1.000000000000000000e+00
8.039237404260000403e+03 9.999638590743255007e-01 9.302666342343359352e-05 9.932757239817059380e-01 9.933116231832510579e-01 1.000000000000000000e+00
8.039257835790000172e+03 1.000081348583516272e+00 9.302666342343359352e-05 9.934417215601480944e-01 9.933609130569504009e-01 1.000000000000000000e+00
8.039278267519999645e+03 1.000140216731155940e+00 9.302666342343359352e-05 9.935462015063263319e-01 9.934069092368054132e-01 1.000000000000000000e+00
8.039298699150000175e+03 1.000079234061350686e+00 9.302666342343359352e-05 9.935243052303872613e-01 9.934455905015209254e-01 1.000000000000000000e+00
8.039319130679999944e+03 1.000032091561718017e+00 9.302666342343359352e-05 9.935094909843087407e-01 9.934776087363124120e-01 1.000000000000000000e+00
8.039339562410000326e+03 9.999148791292568061e-01 9.302666342343359352e-05 9.934222159694302556e-01 9.935067841319847881e-01 1.000000000000000000e+00
8.039359994039999947e+03 9.999916740902616841e-01 9.302666342343359352e-05 9.935294567069101745e-01 9.935377288123619088e-01 1.000000000000000000e+00
8.039380425770000329e+03 9.999663693753306770e-01 9.302666342343359352e-05 9.935395896112163561e-01 9.935730040919985573e-01 1.000000000000000000e+00
8.039400857300000098e+03 9.999551246180486963e-01 9.302666342343359352e-05 9.935695982123206038e-01 9.936141870284757038e-01 1.000000000000000000e+00
8.039421288929999719e+03 9.999749468227741023e-01 9.302666342343359352e-05 9.936367474587251003e-01 9.936616418399406570e-01 1.000000000000000000e+00
8.039441720660000101e+03 1.000014966644537928e+00 9.302666342343359352e-05 9.937290639185890617e-01 9.937141913515147307e-01 1.000000000000000000e+00
8.039462152189999870e+03 1.000019828287226797e+00 9.302666342343359352e-05 9.937895212469473050e-01 9.937698164935886425e-01 1.000000000000000000e+00
8.039482583820000400e+03 1.000018063049851635e+00 9.302666342343359352e-05 9.938448070930484546e-01 9.938268555490127332e-01 1.000000000000000000e+00
8.039503015549999873e+03 1.000032259783172339e+00 9.302666342343359352e-05 9.939164376238844856e-01 9.938843751294443862e-01 1.000000000000000000e+00
8.039523447180000403e+03 1.000008390430168648e+00 9.302666342343359352e-05 9.939505874119413109e-01 9.939422478089194879e-01 1.000000000000000000e+00
8.039543878710000172e+03 9.999705114619534818e-01 9.302666342343359352e-05 9.939720435617308558e-01 9.940013552085121828e-01 1.000000000000000000e+00
8.039564310439999645e+03 1.000035625082432489e+00 9.302666342343359352e-05 9.940982297293746717e-01 9.940628161596058998e-01 1.000000000000000000e+00
8.039584742070000175e+03 9.999288202052371011e-01 9.302666342343359352e-05 9.940565077709725417e-01 9.941272695459870690e-01 1.000000000000000000e+00
8.039605173599999944e+03 1.000019850689703560e+00 9.302666342343359352e-05 9.942153633023518289e-01 9.941956278334390662e-01 1.000000000000000000e+00
8.039625605330000326e+03 9.999704606141491814e-01 9.302666342343359352e-05 9.942379497761163476e-01 9.942673198221154696e-01 1.000000000000000000e+00
8.039646036959999947e+03 1.000010818120616651e+00 9.302666342343359352e-05 9.943523925778612327e-01 9.943416356701124670e-01 1.000000000000000000e+00
8.039666468489999716e+03 1.000046493561687511e+00 9.302666342343359352e-05 9.944635344334846749e-01 9.944173004313838771e-01 1.000000000000000000e+00
8.039686900220000098e+03 1.000030216216009071e+00 9.302666342343359352e-05 9.945234816156240942e-01 9.944934317872695662e-01 1.000000000000000000e+00
8.039707331749999867e+03 1.000013886698521093e+00 9.302666342343359352e-05 9.945844290844669811e-01 9.945706177821399541e-01 1.000000000000000000e+00
8.039727763480000249e+03 9.999326225224474118e-01 9.302666342343359352e-05 9.945836088493701377e-01 9.946506258995893024e-01 1.000000000000000000e+00
8.039748195109999870e+03 9.999998700279242314e-01 9.302666342343359352e-05 9.947352123021492298e-01 9.947353415899664597e-01 1.000000000000000000e+00
8.039768626639999638e+03 9.999738510916525991e-01 9.302666342343359352e-05 9.947989805794960061e-01 9.948249941670901375e-01 1.000000000000000000e+00
8.039789058370000021e+03 1.000023746038547490e+00 9.302666342343359352e-05 9.949428318103230584e-01 9.949192064204956942e-01 1.000000000000000000e+00
8.039809489989999747e+03 1.000050504149035069e+00 9.302666342343359352e-05 9.950673274934379586e-01 9.950170750027896860e-01 1.000000000000000000e+00
8.039829921520000426e+03 1.000011587726556517e+00 9.302666342343359352e-05 9.951300054582778998e-01 9.951184742975064390e-01 1.000000000000000000e+00
8.039850353249999898e+03 9.999952462395567121e-01 9.302666342343359352e-05 9.952200912787930731e-01 9.952248223391856330e-01 1.000000000000000000e+00
8.039870784880000429e+03 9.999450088228871714e-01 9.302666342343359352e-05 9.952833994242562543e-01 9.953381342398833764e-01 1.000000000000000000e+00
8.039891216510000049e+03 9.999643932712196648e-01 9.302666342343359352e-05 9.954245798895851038e-01 9.954600249647056476e-01 1.000000000000000000e+00
8.039911648139999670e+03 1.000032346802465222e+00 9.302666342343359352e-05 9.956226266540065817e-01 9.955904224872741404e-01 1.000000000000000000e+00
8.039932079770000200e+03 9.998854481923550308e-01 9.302666342343359352e-05 9.956141242170271077e-01 9.957281866807344839e-01 1.000000000000000000e+00
8.039952511399999821e+03 1.000022290811608539e+00 9.302666342343359352e-05 9.958942445054689285e-01 9.958720457093117595e-01 1.000000000000000000e+00
8.039972943030000351e+03 1.000015848500708682e+00 9.302666342343359352e-05 9.960338945321415283e-01 9.960181091384330276e-01 1.000000000000000000e+00
8.039993374659999972e+03 9.999835979595504964e-01 9.302666342343359352e-05 9.961460866888035559e-01 9.961624257852055297e-01 1.000000000000000000e+00
8.040013806379999551e+03 1.000096651685829618e+00 9.302666342343359352e-05 9.963977888319996978e-01 9.963014946129506999e-01 1.000000000000000000e+00
8.040034238010000081e+03 9.999998024021189424e-01 9.302666342343359352e-05 9.964319186143223428e-01 9.964321155071970137e-01 1.000000000000000000e+00
8.040054669539999850e+03 1.000023540312430237e+00 9.302666342343359352e-05 9.965769501834595978e-01 9.965534910029278937e-01 1.000000000000000000e+00
8.040075101270000232e+03 1.000040354043603363e+00 9.302666342343359352e-05 9.967058171194685956e-01 9.966655976324838573e-01 1.000000000000000000e+00
8.040095532899999853e+03 1.000065909086686355e+00 9.302666342343359352e-05 9.968349741386216545e-01 9.967692779858726704e-01 1.000000000000000000e+00
8.040156827789999625e+03 9.998498464129645935e-01 9.302666342343359352e-05 9.969130965301632452e-01 9.970628090874473770e-01 1.000000000000000000e+00
8.040177259310000409e+03 9.999780519310494942e-01 9.302666342343359352e-05 9.971477737936662589e-01 9.971696597421135788e-01 1.000000000000000000e+00
8.040197691039999881e+03 1.000048337478189442e+00 9.302666342343359352e-05 9.973318365499731497e-01 9.972836303742411701e-01 1.000000000000000000e+00
8.040218122670000412e+03 1.000057380117637784e+00 9.302666342343359352e-05 9.974605734487107522e-01 9.974033423275956434e-01 1.000000000000000000e+00
8.040238554200000181e+03 1.000043323073035451e+00 9.302666342343359352e-05 9.975721254218825607e-01 9.975289094040855620e-01 1.000000000000000000e+00
