# time-2457000 flux       flux_err   x_off      y_off      roll       bg         contam     deltaT    
2408.58558266 1.00014451 0.00013183 -0.50049156 0.32861564 -56.78049004 0.02894848 0.36750174 0.20352173
2408.58600019 0.99997508 0.00013182 -0.20388550 -0.00804520 -58.67033846 0.02895209 0.33711499 0.20352173
2408.58641772 0.99986634 0.00013182 -0.72775161 0.05604736 -60.51958563 0.02830570 0.44367744 0.18356323
2408.58683525 1.00007545 0.00013183 -0.64455402 0.33658013 -62.35051850 0.03135523 0.44704331 0.20352173
2408.58725278 0.99997071 0.00013182 0.17835395 0.31080317 -64.15614222 0.03028542 0.48400840 0.18356323
2408.58767031 1.00000197 0.00013182 -0.31009084 -0.07084623 -65.93785943 0.03125825 0.37730385 0.20352173
2408.58808785 1.00005809 0.00013183 -0.04098253 0.37322751 -67.70646438 0.02859885 0.57525586 0.18356323
2408.58850538 1.00004116 0.00013183 -0.67862540 -0.14537872 -69.44855786 0.02835128 0.52833405 0.22348022
2408.58892291 1.00019625 0.00013184 0.19032736 0.59402663 -71.18441872 0.02654009 0.56595766 0.20352173
2408.58934044 0.99994662 0.00013182 -0.44088861 0.22798331 -72.89850483 0.02750865 0.45384194 0.22348022
2408.58975798 1.00009578 0.00013183 -0.15740047 0.28045204 -74.60701803 0.02796279 0.37854415 0.20352173
2408.59017551 1.00016660 0.00013184 -0.22595413 -0.12143146 -76.30376753 0.03032446 0.40916787 0.20352173
2408.59059304 1.00006348 0.00013183 -0.51598656 0.15904748 -77.99434816 0.02758952 0.58590696 0.20352173
2408.59101057 1.00004815 0.00013183 -0.75742102 0.32587111 -79.67981271 0.02632717 0.60685106 0.22348022
2408.59142811 1.00008849 0.00013183 -0.27619550 0.36079645 -81.36156947 0.02830238 0.39571600 0.22348022
2408.59184564 0.99996967 0.00013182 0.05131252 -0.01159693 -83.04221835 0.02537206 0.63550946 0.22348022
2408.59226317 1.00020980 0.00013183 -0.36012676 0.17901251 -84.72454139 0.02506280 0.38437442 0.22348022
2408.59268070 1.00022396 0.00013184 -0.55413711 0.39060944 -86.40858528 0.02903216 0.58458148 0.20352173
2408.59309824 1.00025237 0.00013184 0.20808205 -0.08510695 -88.09861307 0.03010184 0.56230333 0.20352173
2408.59351577 1.00017543 0.00013184 -0.68801630 0.17955065 -89.79508994 0.03509442 0.57375210 0.20352173
2408.59393330 1.00037140 0.00013187 -0.36896011 0.19892372 -91.49943172 0.04369866 0.57457348 0.20352173
2408.59435083 1.00028596 0.00013187 -0.24846298 0.32188886 -93.21755809 0.05629517 0.44327512 0.20352173
2408.59476836 1.00034952 0.00013188 -0.33136711 0.28212029 -94.94224271 0.06126952 0.46908820 0.20352173
2408.59518590 1.00022545 0.00013187 -0.20092148 -0.27162653 -96.69133054 0.06443249 0.36635160 0.20352173
2408.59560342 1.00026365 0.00013188 -0.19921938 0.40567738 -98.44738055 0.06589214 0.46279792 0.20352173
2408.59602096 1.00031836 0.00013188 0.00051357 -0.09005785 -100.23291439 0.06487392 0.62611250 0.24349976
2408.59643849 1.00035454 0.00013188 -0.63037962 -0.27237993 -102.03261834 0.06510717 0.46664736 0.20352173
2408.59685602 1.00008855 0.00013187 -0.28919604 -0.13779093 -103.85805821 0.07111197 0.62228075 0.22348022
2408.59727355 1.00042490 0.00013196 -0.53359449 0.25053141 -105.71060316 0.14839388 0.52999715 0.22348022
2408.59769109 1.00047384 0.00013206 -0.55181873 -0.08978878 -107.58269660 0.26182005 0.45955917 0.22348022
2408.59810862 1.00031340 0.00013242 -0.20591040 0.20457420 -109.49798486 0.67052680 0.42574438 0.22348022
2408.59852615 1.00026757 0.00013251 -0.47237751 0.24816360 -111.42559801 0.77316645 0.56592094 0.22348022
2408.61898523 0.99977657 0.00013196 0.00679374 0.19854702 127.69229051 0.19315857 0.52218592 0.32373047
2408.61940276 0.99969689 0.00013201 0.07203122 -0.33136016 125.72988299 0.25317203 0.53407073 0.28356934
2408.61982029 0.99957914 0.00013195 -0.20438439 0.63018972 123.80559568 0.19257871 0.85960844 0.30364990
2408.62023782 0.99921869 0.00013187 -0.21189710 0.07983318 121.91197474 0.12905034 0.88564952 0.28356934
2408.62065535 0.99934576 0.00013181 -0.48124018 -0.17519172 120.04025135 0.05320995 0.56050229 0.28356934
2408.62107289 0.99948113 0.00013180 0.08626433 0.72161978 118.20594581 0.03502279 0.59589970 0.26351929
2408.62149042 0.99948766 0.00013180 -0.50612611 -0.12078568 116.38187725 0.03406701 0.59113530 0.26351929
2408.62190795 0.99931755 0.00013179 -0.20447242 -0.05222656 114.59599953 0.03135210 0.69774678 0.28356934
2408.62232548 0.99938132 0.00013179 -0.22398791 0.38027716 112.81873281 0.03186128 0.75196123 0.26351929
2408.62274302 0.99959348 0.00013181 -0.43243679 0.01843132 111.06567586 0.03248708 0.69131788 0.26351929
2408.62316055 0.99829864 0.00013172 -0.27962905 0.61571372 109.32562465 0.03458702 0.61569443 0.26351929
2408.62357808 0.99917349 0.00013178 -0.22900617 0.17180143 107.59919588 0.03479691 0.62659256 0.26351929
2408.62399561 0.99972195 0.00013182 -0.13456883 0.12309969 105.88673054 0.03053944 0.78848843 0.24349976
