8209.573721 1.006175  0.000672   0.26   0.98  1.15 16.26   279.89    45.00
8209.574394 1.007220  0.000673   1.95   1.28  1.15 16.24   280.60    45.00
8209.575072 1.007781  0.000673   0.81  -1.88  1.15 15.18   279.76    45.00
8209.575749 1.006533  0.000672   1.07  -2.00  1.15 16.19   279.88    45.00
8209.576407 1.008181  0.000673  -2.03  -1.48  1.15 16.63   279.54    45.00
8209.577080 1.007724  0.000672  -2.13  -2.30  1.15 16.79   279.54    45.00
8209.577751 1.007394  0.000666  -2.08   0.18  1.14 15.09   279.19    45.00
8209.578426 1.007778  0.000666  -2.33   0.87  1.14 14.99   280.66    45.00
8209.579102 1.008065  0.000666  -2.52   0.20  1.14 16.06   280.98    45.00
8209.579775 1.006749  0.000665   0.48   0.74  1.14 15.17   282.38    45.00
8209.580446 1.008161  0.000666   0.39   0.51  1.14 14.59   281.73    45.00
8209.581107 1.007758  0.000666   1.29  -0.26  1.14 16.02   281.32    45.00
8209.581777 1.007888  0.000666   1.43   0.47  1.14 15.55   279.51    45.00
8209.582456 1.007936  0.000666  -1.36   0.21  1.14 14.95   281.04    45.00
8209.583132 1.006894  0.000659  -0.85   1.06  1.13 15.13   280.95    45.00
8209.583906 1.008765  0.000661  -0.05  -0.42  1.13 15.15   281.51    45.00
8209.584580 1.006713  0.000660   0.38  -1.19  1.13 16.22   282.94    45.00
8209.585259 1.005062  0.000659   1.93  -0.95  1.13 16.46   284.47    45.00
8209.585934 1.006784  0.000660   1.59  -0.03  1.13 15.54   283.38    45.00
8209.586604 1.007314  0.000660  -1.31   0.72  1.13 15.68   281.84    45.00
8209.587264 1.006081  0.000659  -0.32   0.57  1.13 15.17   279.27    45.00
8209.587935 1.006796  0.000659   0.99  -0.01  1.13 14.89   278.75    45.00
8209.588605 1.006478  0.000659   1.30   0.15  1.13 15.44   282.68    45.00
8209.589280 1.005981  0.000653   0.84   0.15  1.12 15.96   281.25    45.00
8209.589949 1.007376  0.000654   0.19  -0.14  1.12 15.20   281.68    45.00
8209.590608 1.006501  0.000653   0.31   0.51  1.12 15.09   279.64    45.00
8209.591283 1.007983  0.000654   1.05   0.54  1.12 15.70   278.19    45.00
8209.591958 1.007447  0.000654   0.82   0.27  1.12 14.97   280.33    45.00
8209.592634 1.008403  0.000654   0.74   1.35  1.12 14.32   282.04    45.00
8209.593311 1.007691  0.000654   0.92   0.00  1.12 14.83   283.50    45.00
8209.594021 1.008001  0.000654   1.17   0.09  1.12 13.36   281.84    45.00
8209.594694 1.008245  0.000654  -1.32  -0.21  1.12 12.22   283.68    45.00
8209.595369 1.008173  0.000654  -1.46  -0.45  1.12 12.74   284.28    45.00
8209.596042 1.009648  0.000655  -1.82  -1.24  1.12 12.29   283.12    45.00
8209.596715 1.008038  0.000648  -0.81  -0.77  1.11 12.72   282.38    45.00
