#time			flux		fluxerr		x			bg		roll		contam			bg			smear
2314.61528072 0.99967427 0.00032600 -0.14493222 0.00001670 26.90586429 -0.02069466 0.02487183 0.00108599
2314.61597546 1.00025877 0.00032610 -0.66102656 0.00001645 23.83799521 0.11959592 0.12387085 0.00051706
2314.61667018 1.00042617 0.00032612 0.05179275 0.00001651 20.81289540 -0.14173501 -0.01455688 0.00149107
2314.61736491 1.00009353 0.00032607 -0.00002539 0.00001624 17.82208474 -0.05164195 0.04461670 0.00116524
2314.61805963 1.00026444 0.00032610 0.06706475 0.00001610 14.85729187 -0.17464441 0.05450439 0.00161445
2314.61875435 1.00031554 0.00032610 -0.61029635 0.00001568 11.91026098 -0.03297365 -0.02441406 0.00105974
2314.61944908 1.00060228 0.00032615 -0.76214577 0.00001564 8.97260050 0.05255637 0.01501465 0.00078746
2314.62014381 1.00057941 0.00032615 -0.18513432 0.00001548 6.03606108 -0.03449330 -0.01455688 0.00116619
2314.62083854 1.00005049 0.00032606 -0.50418867 0.00001543 3.09234990 -0.06845875 -0.03424072 0.00130631
2314.62153326 1.00045114 0.00032613 -0.22515921 0.00001558 0.13321398 0.03272817 -0.07354736 0.00088644
2314.62222798 1.00019785 0.00032609 -0.28355548 0.00001554 357.15019960 -0.05626933 0.02487183 0.00117587
2314.62292271 1.00086995 0.00032619 0.13113126 0.00001522 354.13496004 -0.10893619 0.04461670 0.00130307
2314.62361745 1.00044406 0.00032613 0.36341445 0.00001574 351.07904200 -0.14252154 0.00515747 0.00146443
2314.62431217 0.99984062 0.00032603 0.12615076 0.00001565 347.97420491 -0.06119756 -0.00473022 0.00117576
2314.62500689 1.00017728 0.00032608 -0.15534794 0.00001566 344.81195001 0.08188522 -0.03424072 0.00068301
2314.62570162 1.00053332 0.00032614 0.09610683 0.00001566 341.58421887 -0.11033883 0.04461670 0.00137262
2314.62639635 1.00093619 0.00032621 0.05494441 0.00001541 338.28373731 -0.11827077 -0.03424072 0.00136085
2314.62709108 1.00106085 0.00032623 0.06802817 0.00001544 334.90325536 0.12316268 -0.03424072 0.00063748
2314.62778581 0.99989558 0.00032604 -0.31773843 0.00001566 331.43551615 -0.02084178 -0.01455688 0.00112996
2314.62848052 1.00006707 0.00032606 0.15325868 0.00001562 327.87332857 -0.05143235 -0.01455688 0.00113267
2314.62917525 1.00024920 0.00032609 -0.30408889 0.00001549 324.21031177 -0.04515588 -0.04406738 0.00115775
2314.62986998 0.99945462 0.00032596 0.27541196 0.00001564 320.44481093 -0.06799301 -0.03424072 0.00122786
2314.63056472 0.99992706 0.00032604 -0.28829514 0.00001549 316.57636186 -0.02840432 -0.03424072 0.00106123
2314.63125943 0.99945356 0.00032596 -0.42599793 0.00001552 312.60482348 -0.13625387 -0.01455688 0.00152767
2314.63195416 0.99960049 0.00032599 -0.62019059 0.00001549 308.52946729 -0.16831738 0.00515747 0.00166281
2314.63264888 1.00014699 0.00032608 -0.93710011 0.00001556 304.35063509 -0.00425100 -0.03424072 0.00112634
2314.63334361 0.99927997 0.00032594 -0.58031883 0.00001532 300.07698965 -0.13681226 -0.03424072 0.00161540
2314.63403834 0.99973795 0.00032601 -0.85926075 0.00001550 295.72330764 0.06404151 0.03475952 0.00092552
2314.63473306 1.00026762 0.00032610 -0.73569955 0.00001561 291.30458392 0.03814390 -0.03424072 0.00094115
2314.63542779 0.99895366 0.00032588 -0.40228993 0.00001667 286.83559026 -0.05794296 -0.01455688 0.00129573
2314.63612252 1.00018317 0.00032608 0.08824107 0.00001533 282.33133411 -0.00545658 -0.03424072 0.00116849
2314.63681725 0.99979267 0.00032602 0.33295253 0.00001537 277.80842711 -0.21489750 -0.01455688 0.00180980
