#time			flux		fluxerr		x			y		roll		contam			bg			smear
2256.14782645 0.99985432 0.00032585 0.24724141 -0.04652804 129.27487252 -0.09497127 0.00001683 0.00105333
2256.14852125 0.99966659 0.00032582 -0.08336885 0.31457999 125.67538886 -0.01763848 0.00001650 0.00067622
2256.14921604 1.00001289 0.00032587 -0.37155153 -0.12804962 122.04101062 -0.06528609 0.00001618 0.00098983
2256.14991084 0.99974328 0.00032583 0.66910313 0.89711278 118.37121319 -0.17351598 0.00001607 0.00118008
2256.15060563 1.00044107 0.00032594 0.37641881 0.49593124 114.66586948 -0.23518885 0.00001592 0.00147937
2256.15130043 0.99972249 0.00032583 0.35461218 0.02878855 110.92559750 -0.08338865 0.00001606 0.00090544
2256.15199521 1.00052500 0.00032596 0.93519990 0.09675065 107.15179572 0.05698291 0.00001585 0.00049509
2256.15269000 1.00014335 0.00032589 0.98365153 0.51441862 103.34620295 -0.18729986 0.00001599 0.00133084
2256.15338480 0.99995427 0.00032586 0.33352038 0.41932543 99.51122549 -0.22200600 0.00001586 0.00135609
2256.15407959 1.00055971 0.00032596 0.43058765 0.22109827 95.64996102 -0.06557315 0.00001570 0.00072648
2256.15477439 1.00043164 0.00032594 0.76544365 0.61520288 91.76604224 -0.17593284 0.00001570 0.00125224
2256.15546918 0.99988771 0.00032585 0.59765851 0.02722707 87.86365952 -0.12085900 0.00001554 0.00104552
2256.15616397 0.99987062 0.00032585 -0.37605777 -0.35862205 83.94737107 -0.28541667 0.00001552 0.00167274
2256.15685876 0.99919440 0.00032574 -0.26781800 -0.03259680 80.02194014 -0.13626171 0.00001569 0.00116261
2256.15755355 1.00047690 0.00032595 -0.14421959 -0.07842265 76.09234668 -0.08840007 0.00001545 0.00099168
2256.15824835 1.00019365 0.00032590 -0.27460663 -0.14983070 72.16376145 -0.15806177 0.00001546 0.00124909
2256.15894314 1.00021290 0.00032591 -0.10418175 0.31346789 68.24129766 -0.09893947 0.00001511 0.00094203
2256.15963794 0.99978570 0.00032584 -0.54117819 0.46941159 64.32991630 -0.13185178 0.00001528 0.00114071
2256.16033273 0.99986389 0.00032585 -0.29546443 0.42333090 60.43422274 -0.24808932 0.00001508 0.00153201
2256.16102752 0.99993360 0.00032586 -0.65607998 0.26578535 56.55847766 -0.11717492 0.00001544 0.00118227
2256.16172231 0.99953915 0.00032580 -0.38911788 0.00446079 52.70663808 -0.03721121 0.00001562 0.00085891
2256.16241710 1.00001360 0.00032587 -0.61970334 0.34577806 48.88187937 -0.11770606 0.00001539 0.00112541
2256.16311190 0.99933839 0.00032576 -0.43687622 0.28068727 45.08681742 -0.03736864 0.00001545 0.00075894
2256.16380669 0.99993414 0.00032586 -0.61219650 0.13692399 41.32381538 -0.15450647 0.00001537 0.00120818
2256.16450149 1.00050711 0.00032595 -0.49445589 -0.11863602 37.59406267 -0.18379262 0.00001530 0.00141964
2256.16519628 0.99998562 0.00032587 0.48863754 -0.22854292 33.89855429 -0.21378409 0.00001553 0.00145217
2256.16589107 0.99951608 0.00032579 -0.18103650 -0.26455926 30.23755732 -0.13999254 0.00001542 0.00129553
2256.16658586 0.99989270 0.00032585 -0.13755680 0.44165355 26.61067760 -0.22519859 0.00001562 0.00144428
2256.16728065 0.99964804 0.00032581 -0.25234116 0.58801151 23.01724562 -0.15866792 0.00001539 0.00119887
2256.16797545 0.99979084 0.00032584 0.33644938 0.15335705 19.45494651 -0.09890138 0.00001524 0.00094557
2256.16867024 1.00015123 0.00032590 0.22441473 0.11846052 15.92270374 -0.13366326 0.00001549 0.00109616
2256.16936503 1.00050055 0.00032595 -0.62174613 -0.06588945 12.41871678 -0.02848131 0.00001545 0.00088226
2256.17005983 1.00018948 0.00032590 -0.73486343 -0.02962361 8.93994083 -0.09202607 0.00001540 0.00110596
2256.17075462 1.00008159 0.00032588 -0.37594052 0.05283129 5.48322842 -0.08417207 0.00001531 0.00102556
2256.17144942 1.00009430 0.00032589 -0.68615614 0.31362546 2.04543927 -0.01775429 0.00001542 0.00072264
2256.17214420 1.00089223 0.00032602 -0.32460208 0.56144906 358.62348341 -0.25486353 0.00001530 0.00165913
2256.17283900 1.00037053 0.00032593 0.13420806 0.37566893 355.21398168 -0.21787143 0.00001543 0.00136329
2256.17353379 0.99996196 0.00032586 -0.35051283 -0.29705746 351.81328711 -0.21654486 0.00001576 0.00156306
2256.17422858 1.00048608 0.00032595 -0.01559387 -0.55679948 348.41759096 -0.11022492 0.00001555 0.00111880
