#time			flux		fluxerr		x			y		roll		contam			deltaT			smear
2264.55067176 1.00057059 0.00032598 -0.45648327 0.12767395 4.82146312 -0.02757600 -0.16156006 0.00090393
2264.55136654 1.00049729 0.00032597 -0.67939869 0.27954406 1.24282848 0.02828342 -0.15179443 0.00074293
2264.55206132 1.00024389 0.00032592 -0.13601486 0.32559718 357.67332999 -0.12769961 -0.15179443 0.00122768
2264.55345089 1.00000432 0.00032589 0.02753992 -0.47518260 350.55595682 -0.09408039 -0.17129517 0.00121704
2264.55414567 1.00021727 0.00032592 0.06538740 -0.68283515 347.00501494 -0.13361057 -0.15179443 0.00133269
2264.55484046 1.00025120 0.00032593 0.18293918 -0.26779001 343.45715108 -0.15285131 -0.16156006 0.00141809
2264.55553524 1.00074347 0.00032601 0.09657283 -0.20793366 339.91079599 -0.14945050 -0.14202881 0.00147706
2264.55623003 1.00040128 0.00032595 -0.05435964 -0.13607802 336.36439307 0.00107127 -0.16156006 0.00092259
2264.55692481 0.99926627 0.00032577 -0.20136134 0.10780387 332.81638775 -0.00930533 -0.15179443 0.00092601
2264.55761958 0.99995131 0.00032588 0.02893593 -0.04760533 329.26529366 -0.06788510 -0.16156006 0.00112894
2264.55831437 1.00006640 0.00032590 -0.06473381 -0.15397893 325.70943807 -0.18988989 -0.15179443 0.00154092
2264.55900915 0.99988420 0.00032587 0.17995592 -0.31589853 322.14733435 -0.28251888 -0.15179443 0.00188679
2264.55970394 1.00062421 0.00032599 -0.08434222 0.06720259 318.57751861 -0.03442125 -0.15179443 0.00104434
2264.56039872 0.99985723 0.00032586 -0.26322420 0.02461272 314.99894636 -0.09579789 -0.17129517 0.00121071
2264.56109351 0.99981590 0.00032586 -0.43545060 -0.15909861 311.41069292 -0.17267799 -0.15179443 0.00155412
2264.56178829 1.00011156 0.00032590 -0.42925023 -0.39762535 307.81182821 -0.11271354 -0.15179443 0.00136374
2264.56248307 0.99996295 0.00032588 -0.13765685 -0.22003948 304.20149000 -0.05552718 -0.16156006 0.00116578
2264.56317785 1.00006326 0.00032590 -0.26354949 -0.35188856 300.57867002 -0.12429983 -0.14202881 0.00141593
2264.56387264 0.99926703 0.00032577 -0.52794490 -0.60218997 296.94314408 -0.09267488 -0.16156006 0.00145944
