# time-2457000 flux       flux_err  
1491.94561634 0.99936938 0.00096724
1491.94700525 0.99644941 0.00096651
1491.94839415 0.99383193 0.00096534
1491.94978306 0.99278873 0.00096462
1491.95117197 0.99137264 0.00096435
1491.95256087 0.98987293 0.00096329
1491.95394978 0.99154133 0.00096473
1491.95533869 0.99106771 0.00096382
1491.95672759 0.99221098 0.00096491
1491.95811650 0.99074841 0.00096409
1491.95950541 0.98955631 0.00096354
1491.96089431 0.98940629 0.00096375
1491.96228322 0.98984003 0.00096327
1491.96367213 0.98880357 0.00096289
1491.96506103 0.99003947 0.00096360
1491.96644994 0.98945123 0.00096356
1491.96783885 0.98839712 0.00096296
1491.96922775 0.98935950 0.00096303
1491.97061666 0.99109215 0.00096393
1491.97200557 0.98778754 0.00096240
1491.97339447 0.98876894 0.00096303
1491.97478338 0.99067754 0.00096430
1491.97617229 0.98842841 0.00096264
1491.97756119 0.98841286 0.00096319
1491.97895010 0.98947507 0.00096314
1491.98033900 0.98994601 0.00096374
1491.98172791 0.98704594 0.00096208
1491.98311682 0.98837030 0.00096253
1491.98450572 0.98792166 0.00096285
1491.98589463 0.98853171 0.00096261
1491.98728354 0.98849326 0.00096333
1491.98867244 0.98905200 0.00096269
1491.99006135 0.98853636 0.00096286
1491.99145026 0.98858035 0.00096250
1491.99283916 0.98862809 0.00096268
1491.99422807 0.98815548 0.00096260
1491.99561698 0.98610342 0.00096174
1491.99700588 0.98911279 0.00096309
1491.99839479 0.98834592 0.00096237
1491.99978370 0.99014753 0.00096369
1492.00117260 0.98922640 0.00096300
1492.00256151 0.98979849 0.00096332
1492.00395042 0.98840064 0.00096246
1492.00533932 0.98955858 0.00096267
1492.00672823 0.98601246 0.00096231
1492.00811713 0.98780870 0.00096257
1492.00950604 0.98972881 0.00096354
1492.01089495 0.98990989 0.00096327
1492.01228385 0.99023473 0.00096388
1492.01367276 0.98998731 0.00096397
1492.01506167 0.98652637 0.00096215
1492.01645057 0.98783088 0.00096207
1492.01783948 0.98941553 0.00096295
1492.01922839 0.98662120 0.00096259
1492.02061729 0.98837030 0.00096258
1492.02200620 0.99000823 0.00096320
1492.02339511 0.98661786 0.00096183
1492.02478401 0.98812765 0.00096288
1492.02617292 0.99005169 0.00096301
1492.02756183 0.98850697 0.00096270
1492.02895073 0.98868012 0.00096317
1492.03033964 0.98853213 0.00096292
1492.03172855 0.98932689 0.00096279
1492.03311745 0.98946881 0.00096315
1492.03450636 0.98925859 0.00096260
1492.03589526 0.98897302 0.00096302
1492.03728417 0.99014890 0.00096389
1492.03867308 0.99025357 0.00096380
1492.04006198 0.99086255 0.00096385
1492.04145089 0.98646331 0.00096242
1492.04283980 0.99076015 0.00096391
1492.04422870 0.99131578 0.00096370
1492.04561761 0.99058402 0.00096357
1492.04700652 0.99157155 0.00096411
1492.04839542 0.99281585 0.00096449
1492.04978433 0.99621767 0.00096558
1492.05117324 0.99840766 0.00096647
1492.05256214 0.99707669 0.00096626
1492.05395105 1.00039971 0.00096744
1492.05533995 1.00135529 0.00096755
1492.05672886 1.00184762 0.00096818
1492.05811777 1.00334394 0.00096863
1492.05950667 1.00514209 0.00096912
1492.06089558 1.00442731 0.00096895
1492.06228449 1.00312567 0.00096835
1492.06367339 1.00335503 0.00096857
1492.06506230 1.00380969 0.00096849
1492.06645121 1.00309217 0.00096824
1492.06784011 1.00185180 0.00096801
1492.06922902 1.00426602 0.00096838
1492.07061793 1.00415659 0.00096848
1492.07200683 1.00189519 0.00096779
1492.07339574 1.00143635 0.00096864
1492.07478465 1.00383639 0.00096843
1492.07617355 1.00488925 0.00096949
1492.07756246 1.00290549 0.00096803
1492.07895136 1.00417423 0.00096846
1492.08034027 1.00426555 0.00096985
1492.08172918 1.00320888 0.00096817
1492.08311808 1.00308454 0.00096802
1492.08450699 1.00086546 0.00096768
1492.08589590 1.00452185 0.00096883
1492.08728480 1.00309801 0.00096805
1492.08867371 1.00193501 0.00096780
1492.09006262 1.00378549 0.00096859
1492.09145152 1.00312698 0.00096862
1492.09284043 1.00388825 0.00096905
1492.09422933 1.00200558 0.00096774
